,msu7Name,raprepName
OsNippo01g010050,{'LOC_Os01g01010'},{'Os01g0100100'}
OsNippo01g010100,set(),{'Os01g0100300'}
OsNippo01g010150,{'LOC_Os01g01019'},{'Os01g0100200'}
OsNippo01g010200,{'LOC_Os01g01030'},{'Os01g0100400'}
OsNippo01g010250,set(),{'Os01g0100466'}
OsNippo01g010300,{'LOC_Os01g01040'},{'Os01g0100500'}
OsNippo01g010350,{'LOC_Os01g01050'},{'Os01g0100600'}
OsNippo01g010400,set(),{'Os01g0100650'}
OsNippo01g010450,{'LOC_Os01g01060'},{'Os01g0100700'}
OsNippo01g010500,{'LOC_Os01g01070'},{'Os01g0100800'}
OsNippo01g010550,{'LOC_Os01g01080'},{'Os01g0100900'}
OsNippo01g010600,{'LOC_Os01g01090'},set()
OsNippo01g010650,{'LOC_Os01g01100'},set()
OsNippo01g010700,{'LOC_Os01g01110'},set()
OsNippo01g010750,"{'LOC_Os01g01115', 'LOC_Os01g01120'}","{'Os01g0101200', 'Os01g0101150'}"
OsNippo01g010800,set(),{'Os01g0101175'}
OsNippo01g010850,{'LOC_Os01g01130'},{'Os01g0101300'}
OsNippo01g010900,{'LOC_Os01g01140'},{'Os01g0101500'}
OsNippo01g010950,{'LOC_Os01g01150'},{'Os01g0101600'}
OsNippo01g011000,set(),set()
OsNippo01g011050,{'LOC_Os01g01160'},{'Os01g0101700'}
OsNippo01g011100,{'LOC_Os01g01170'},{'Os01g0101800'}
OsNippo01g011150,set(),{'Os01g0101850'}
OsNippo01g011200,{'LOC_Os01g01180'},{'Os01g0101900'}
OsNippo01g011250,{'LOC_Os01g01190'},{'Os01g0102000'}
OsNippo01g011300,{'LOC_Os01g01200'},set()
OsNippo01g011350,{'LOC_Os01g01210'},set()
OsNippo01g011400,set(),set()
OsNippo01g011450,{'LOC_Os01g01230'},set()
OsNippo01g011500,{'LOC_Os01g01240'},set()
OsNippo01g011550,{'LOC_Os01g01250'},set()
OsNippo01g011600,{'LOC_Os01g01260'},set()
OsNippo01g011650,{'LOC_Os01g01270'},set()
OsNippo01g011700,{'LOC_Os01g01280'},{'Os01g0102300'}
OsNippo01g011750,{'LOC_Os01g01290'},{'Os01g0102400'}
OsNippo01g011800,{'LOC_Os01g01295'},{'Os01g0102500'}
OsNippo01g011850,{'LOC_Os01g01302'},{'Os01g0102600'}
OsNippo01g011900,{'LOC_Os01g01307'},{'Os01g0102700'}
OsNippo01g011950,{'LOC_Os01g01312'},{'Os01g0102800'}
OsNippo01g012000,{'LOC_Os01g01320'},set()
OsNippo01g012050,{'LOC_Os01g01330'},set()
OsNippo01g012100,set(),set()
OsNippo01g012150,set(),{'Os01g0102850'}
OsNippo01g012200,{'LOC_Os01g01340'},{'Os01g0102900'}
OsNippo01g012250,{'LOC_Os01g01350'},{'Os01g0103000'}
OsNippo01g012300,set(),{'Os01g0103050'}
OsNippo01g012350,{'LOC_Os01g01360'},{'Os01g0103100'}
OsNippo01g012400,set(),{'Os01g0103075'}
OsNippo01g012450,set(),{'Os01g0103400'}
OsNippo01g012500,{'LOC_Os01g01369'},{'Os01g0103600'}
OsNippo01g012550,set(),{'Os01g0103650'}
OsNippo01g012600,set(),{'Os01g0103700'}
OsNippo01g012650,{'LOC_Os01g01380'},set()
OsNippo01g012700,{'LOC_Os01g01390'},{'Os01g0103800'}
OsNippo01g012750,{'LOC_Os01g01400'},{'Os01g0103900'}
OsNippo01g012800,{'LOC_Os01g01410'},{'Os01g0104000'}
OsNippo01g012850,{'LOC_Os01g01420'},{'Os01g0104100'}
OsNippo01g012900,{'LOC_Os01g01430'},{'Os01g0104200'}
OsNippo01g012950,{'LOC_Os01g01440'},{'Os01g0104300'}
OsNippo01g013000,set(),{'Os01g0104350'}
OsNippo01g013050,{'LOC_Os01g01450'},{'Os01g0104400'}
OsNippo01g013100,{'LOC_Os01g01460'},set()
OsNippo01g013150,{'LOC_Os01g01470'},{'Os01g0104500'}
OsNippo01g013200,{'LOC_Os01g01484'},{'Os01g0104600'}
OsNippo01g013250,{'LOC_Os01g01500'},set()
OsNippo01g013300,{'LOC_Os01g01510'},{'Os01g0104800'}
OsNippo01g013350,{'LOC_Os01g01520'},{'Os01g0104900'}
OsNippo01g013400,{'LOC_Os01g01530'},set()
OsNippo01g013450,{'LOC_Os01g01540'},set()
OsNippo01g013500,{'LOC_Os01g01550'},set()
OsNippo01g013550,{'LOC_Os01g01560'},{'Os01g0105300'}
OsNippo01g013600,set(),{'Os01g0105450'}
OsNippo01g013650,{'LOC_Os01g01570'},{'Os01g0105400'}
OsNippo01g013700,{'LOC_Os01g01580'},set()
OsNippo01g013750,{'LOC_Os01g01590'},set()
